original_variable,Year,continuity_variable,cat_1,cat_2,Notes
Additional contribution from revenue,1415,Additional contribution from revenue,Prudential,CFR,
Adjustments for land and capital receipts crossing HRA boundary,1617,Adjustments for land and capital receipts crossing HRA boundary,Prudential,CFR,
Authorised limit for external debt at 1 April,1415,"Authorised limit for external debt, 1 April",Prudential,Authorised limit,
Authorised limit for external debt at 1 April 2004,405,"Authorised limit for external debt, 1 April",Prudential,Authorised limit,
Authorised limit for External DebtAs at 1 April 2018,1819e,"Authorised limit for external debt, 1 April",Prudential,Authorised limit,
Authorised limit for gross external debt at 1 April 2017,1718,"Authorised limit for external debt, 1 April",Prudential,Authorised limit,
Authorised limit for gross external debt at 1 April 2018,1819,"Authorised limit for external debt, 1 April",Prudential,Authorised limit,
Authorised limit for gross external debt at 1 April 2019,1920e,"Authorised limit for external debt, 1 April",Prudential,Authorised limit,
Authorised limit for external debt at 31 March,1415,"Authorised limit for external debt, 31 March",Prudential,Authorised limit,
Authorised limit for external debt at 31 March 2005,405,"Authorised limit for external debt, 31 March",Prudential,Authorised limit,
Authorised limit for External DebtAs at 31 March 2019,1819e,"Authorised limit for external debt, 31 March",Prudential,Authorised limit,
Authorised limit for gross external debt at 31 March 2018,1718,"Authorised limit for external debt, 31 March",Prudential,Authorised limit,
Authorised limit for gross external debt at 31 March 2019,1819,"Authorised limit for external debt, 31 March",Prudential,Authorised limit,
Authorised limit for gross external debt at 31 March 2020,1920e,"Authorised limit for external debt, 31 March",Prudential,Authorised limit,
E23 - Forecast authorised limit for external debt during year,1718e,"Authorised limit for external debt, 31 March",Prudential,Authorised limit,
Other borrowing & credit arrangements not supported by central government,1718,Borrowing,Financing,Borrowing,
Other borrowing & credit arrangements not supported by central government (excluding PFI),1819e,Borrowing,Financing,Borrowing,
Other borrowing and credit arrangements not supported,506,Borrowing,Financing,Borrowing,
Other borrowing and credit arrangements not supported by central government,1415,Borrowing,Financing,Borrowing,
M8- Capital expenditure financed by the community infrastructure levy (CIL),1516,Capex financed by CIL,memo,Financing,
Capital receipts used to finance revenue expenditure,1819e,Capital receipts used to finance current spending,Financing,Receipts,
Capital Financing Requirement as at 1 April,1415,"CFR, 1 April",Prudential,CFR,
Capital financing requirement as at 1 April,506,"CFR, 1 April",Prudential,CFR,
Capital financing requirement as at 1 April 2004,405,"CFR, 1 April",Prudential,CFR,
Capital Financing Requirement as at 1 April 2017,1718,"CFR, 1 April",Prudential,CFR,
Capital Financing Requirement as at 1 April 2018,1819,"CFR, 1 April",Prudential,CFR,
Capital Financing Requirement as at 1 April 2019,1920e,"CFR, 1 April",Prudential,CFR,
Capital Financing RequirementAs at 1 April 2018,1819e,"CFR, 1 April",Prudential,CFR,
E11 - Capital Financing Requirement as at start of year (1 April),1718e,"CFR, 1 April",Prudential,CFR,
Capital financing requirement as at 31 march,506,"CFR, 31 March",Prudential,CFR,
Capital Financing Requirement as at 31 March (line 30 plus line 36),1415,"CFR, 31 March",Prudential,CFR,
Capital financing requirement as at 31 March 2005,405,"CFR, 31 March",Prudential,CFR,
Capital Financing Requirement as at 31 March 2018,1718,"CFR, 31 March",Prudential,CFR,
Capital Financing Requirement as at 31 March 2019,1819,"CFR, 31 March",Prudential,CFR,
Capital Financing Requirement as at 31 March 2020,1920e,"CFR, 31 March",Prudential,CFR,
Capital Financing RequirementAs at 31 March 2019,1819e,"CFR, 31 March",Prudential,CFR,
E15 - Capital Financing Requirement as at end of year (31 March),1718e,"CFR, 31 March",Prudential,CFR,
Contribution from Housing Revenue Account,1819,Contribution from HRA,Prudential,CFR,
Contribution from Major Repairs Reserve,1415,Contribution from Major Repairs Reserve,Prudential,CFR,
Contributions from MRR,506,Contribution from Major Repairs Reserve,Prudential,CFR,
Capital grants and contributions from private developers,405,Developer and leaseholder contributions,Financing,Developer and leaseholder contributions,
Grants & contributions from private developers,506,Developer and leaseholder contributions,Financing,Developer and leaseholder contributions,
Grants and contributions from private developers and from leaseholders etc,1415,Developer and leaseholder contributions,Financing,Developer and leaseholder contributions,
"Grants from private developers & leaseholders, etc",1819e,Developer and leaseholder contributions,Financing,Developer and leaseholder contributions,
"Grants from private developers & leaseholders, etc.",1718,Developer and leaseholder contributions,Financing,Developer and leaseholder contributions,
Total grants used to finance capital expenditure,1718,drop,drop - aggregate,drop - aggregate,
Total prudential borrowing (excluding PFI),1718,drop,drop - aggregate,drop - aggregate,
Total revenue account resources used to finance capital expenditure,1718,drop,drop - aggregate,drop - aggregate,
Authorised limit for External DebtIn-year change,1819e,drop,drop - calculation,drop - calculation,
Capital Financing RequirementIn-year change,1819e,drop,drop - calculation,drop - calculation,
Change in Capital Financing Requirement,1516,drop,drop - calculation,drop - calculation,
Change in capital financing requirement,506,drop,drop - calculation,drop - calculation,
Change in Capital Financing Requirement (line 31 less lines 32 to 35),1415,drop,drop - calculation,drop - calculation,
Change in gross borrowing,1718,drop,drop - calculation,drop - calculation,
Change in gross external debt,1718,drop,drop - calculation,drop - calculation,
Change in Investments,1718,drop,drop - calculation,drop - calculation,
Change in net external debt,1718,drop,drop - calculation,drop - calculation,
Change in other long-term liabilities,1718,drop,drop - calculation,drop - calculation,
E14 - Change in Capital Financing Requirement,1718e,drop,drop - calculation,CFR,
Gross borrowingIn-year change,1819e,drop,drop - calculation,drop - calculation,
Gross external debt as at 1 April 2017,1718,drop,drop - calculation,drop - calculation,
Gross external debt as at 1 April 2018,1819,drop,drop - calculation,drop - calculation,
Gross external debt as at 1 April 2019,1920e,drop,drop - calculation,drop - calculation,
Gross external debt as at 31 March 2018,1718,drop,drop - calculation,drop - calculation,
Gross external debt as at 31 March 2019,1819,drop,drop - calculation,drop - calculation,
Gross external debt as at 31 March 2020,1920e,drop,drop - calculation,drop - calculation,
Gross External DebtAs at 1 April 2018,1819e,drop,drop - calculation,drop - calculation,
Gross External DebtAs at 31 March 2019,1819e,drop,drop - calculation,drop - calculation,
Gross External DebtIn-year change,1819e,drop,drop - calculation,drop - calculation,
InvestmentsIn-year change,1819e,drop,drop - calculation,drop - calculation,
Local Authority Companies Gross External DebtIn-year change,1819e,drop,drop - calculation,drop - calculation,
M8 - Sales of tangible fixed assets - TOTAL (M5 to M7),405,drop,drop - calculation,drop - calculation,
M8- Total M5 to M7,506,drop,drop - calculation,drop - calculation,
Net external debt as at 1 April 2017,1718,drop,drop - calculation,drop - calculation,
Net external debt as at 1 April 2018,1819,drop,drop - calculation,drop - calculation,
Net external debt as at 1 April 2019,1920e,drop,drop - calculation,drop - calculation,
Net external debt as at 31 March 2018,1718,drop,drop - calculation,drop - calculation,
Net external debt as at 31 March 2019,1819,drop,drop - calculation,drop - calculation,
Net external debt as at 31 March 2020,1920e,drop,drop - calculation,drop - calculation,
Net External DebtAs at 1 April 2018,1819e,drop,drop - calculation,drop - calculation,
Net External DebtAs at 31 March 2019,1819e,drop,drop - calculation,drop - calculation,
Net External DebtIn-year change,1819e,drop,drop - calculation,drop - calculation,
Operational boundary for External DebtIn-year change,1819e,drop,drop - calculation,drop - calculation,
Other long-term liabilitiesIn-year change,1819e,drop,drop - calculation,drop - calculation,
TOTAL RESOURCES TO BE USED TO FINANCE CAPITAL EXPENDITURE,1718e,drop,drop - duplicate,drop - duplicate,appears in financing and in prudential
M1- Gross borrowing and other long-term liabilities as at start of year (1 April),1718e,drop,memo,Drop - aggregate,
M10 - Sales of Tangible Fixed Assets - TOTAL (M7 to M9),708,drop,memo,drop - aggregate,
M11 - TOTAL REPAYMENTS (M9 to M10),405,drop,memo,Drop - aggregate,
M11- Total M9 +M10,506,drop,memo,Drop - aggregate,
M12 - Grants Loans & financial assistance - TOTAL (M11+M12),1314,drop,memo,Drop - aggregate,
M13 - Grants Loans & financial assistance - TOTAL (M11+M12),708,drop,memo,Drop - aggregate,
M2- Gross borrowing and other long-term liabilities as at end of year (31 March),1718e,drop,memo,Drop - aggregate,
M4 - S16(2)(b) direction expenditure - TOTAL (M1 to M3),405,drop,memo,Drop - aggregate,
M4- Total M1 to M3,506,drop,memo,drop - aggregate,
M5 - Section 16(2)(b) - TOTAL (M1 to M4),1415,drop,memo,drop - aggregate,
M5 - Section 16(2)(b) - TOTAL (M1 to M5),1314,drop,memo,drop - aggregate,
M6 - Section 16(2)(b) - TOTAL (M1 to M5),708,drop,memo,drop - aggregate,
M9 - Sales of Tangible Fixed Assets - TOTAL (M7 to M9),1314,drop,memo,drop - aggregate,
E1 - Total planned capital expenditure,1718e,drop,seems to duplicate financing table,seems to duplicate financing table,
