original_variable,year_last_seen,continuity_variable,cat_1,cat_2,Notes
adjustments_for_land_and_capital_receipts_crossing_hra_boundary,2016-17,Adjustments for land and capital receipts crossing HRA boundary,CFR,Prudential,
authorised_limit_for_external_debt_at_1_april,2016-17,Authorised limit at 1 April,Prudential,Prudential,
authorised_limit_for_external_debt_at_1_april_2004,2004-05,Authorised limit at 1 April,Prudential,Prudential,
authorised_limit_for_external_debt_at_31_march,2016-17,Authorised limit at 31 March,Prudential,Prudential,
authorised_limit_for_external_debt_at_31_march_2005,2004-05,Authorised limit at 31 March,Prudential,Prudential,
gross_borrowing_as_at_1_april,2016-17,Borrowing at 1 April,Financial assets and liabilities,Prudential,
gross_borrowing_as_at_1_april_2004,2004-05,Borrowing at 1 April,Financial assets and liabilities,Prudential,
gross_borrowing_as_at_31_march,2016-17,Borrowing at 31 March,Financial assets and liabilities,Prudential,
gross_borrowing_as_at_31_march_2005,2004-05,Borrowing at 31 March,Financial assets and liabilities,Prudential,
m8_capital_expenditure_financed_by_the_community_infrastructure_levy_cil,2016-17,Capex financed by CIL,memo,memo,
total_capital_receipts_used_to_finance_capital_expenditure,2018-19,Capital receipts used to finance capital expenditure,Receipts,Financing,
use_of_capital_receipts,2016-17,Capital receipts used to finance capital expenditure,Receipts,Financing,
m3_section_16_2_b_equal_pay_directions,2016-17,Capitalisation: equal pay,memo,memo,Component of use of capitalisation
m3_other,2005-06,Capitalisation: other,memo,memo,Component of use of capitalisation
m4_other,2016-17,Capitalisation: other,memo,memo,Component of use of capitalisation
m5_other,2007-08,Capitalisation: other,memo,memo,Component of use of capitalisation
m2_pension_scheme_contributions,2005-06,Capitalisation: pension scheme contributions,memo,memo,Component of use of capitalisation
m2_s16_2_b_direction_expenditure_pension_scheme_contributions,2004-05,Capitalisation: pension scheme contributions,memo,memo,Component of use of capitalisation
m2_section_16_2_b_pension_scheme_contributions,2016-17,Capitalisation: pension scheme contributions,memo,memo,Component of use of capitalisation
m4_section_16_2_b_local_public_service_agreements,2007-08,Capitalisation: Public service agreements,memo,memo,Component of use of capitalisation
m1_redundancy_costs,2005-06,Capitalisation: redundancy,memo,memo,Component of use of capitalisation
m1_s16_2_b_direction_expenditure_redundancy_costs,2004-05,Capitalisation: redundancy,memo,memo,Component of use of capitalisation
m1_section_16_2_b_redundancy_costs,2016-17,Capitalisation: redundancy,memo,memo,Component of use of capitalisation
m4_s16_2_b_direction_expenditure_total_m1_to_m3,2004-05,Capitalisation: total,memo,memo,Sum of capitalisation lines
m4_total_m1_to_m3,2005-06,Capitalisation: total,memo,memo,Sum of capitalisation lines
m5_section_16_2_b_total_m1_to_m4,2016-17,Capitalisation: total,memo,memo,Sum of capitalisation lines
m5_section_16_2_b_total_m1_to_m5,2013-14,Capitalisation: total,memo,memo,Sum of capitalisation lines
m6_section_16_2_b_total_m1_to_m5,2007-08,Capitalisation: total,memo,memo,Sum of capitalisation lines
additional_contribution_from_revenue,2016-17,CERA,CFR,Prudential,
capital_financing_requirement_as_at_1_april,2016-17,CFR at 1 April,CFR,Prudential,
capital_financing_requirement_as_at_1_april_2004,2004-05,CFR at 1 April,CFR,Prudential,
capital_financing_requirement_as_at_31_march,2005-06,CFR at 31 March,CFR,Prudential,Sum of CFR lines
capital_financing_requirement_as_at_31_march_2005,2004-05,CFR at 31 March,CFR,Prudential,Sum of CFR lines
capital_financing_requirement_as_at_31_march_line_30_plus_line_36,2016-17,CFR at 31 March,CFR,Prudential,Sum of CFR lines
change_in_capital_financing_requirement,2016-17,Change in CFR,CFR,Prudential,
change_in_capital_financing_requirement_line_31_less_lines_32_to_35,2014-15,Change in CFR,CFR,Prudential,
change_in_capital_financing_requirement_line_31_less_lines_32_to_35,2013-14,Change in CFR,CFR,Prudential,
capital_grants_and_contributions_from_private_developers,2004-05,Developer contributions,Developer contributions,Financing,
grants_and_contributions_from_private_developers_and_from_leaseholders_etc,2016-17,Developer contributions,Developer contributions,Financing,
grants_contributions_from_private_developers,2005-06,Developer contributions,Developer contributions,Financing,
grants_from_private_developers_leaseholders_etc,2018-19,Developer contributions,Developer contributions,Financing,
m10_grants_loans_financial_assistance_repayments_grants,2013-14,drop,drop,drop,Reprinting values from the spending tables
m10_loans_and_financial_assistance,2005-06,drop,drop,drop,Reprinting values from the spending tables
m10_repayments_loans_financial_assistance,2004-05,drop,drop,drop,Reprinting values from the spending tables
m10_sales_of_tangible_fixed_assets_total_m7_to_m9,2007-08,drop,drop,drop,Reprinting values from the spending tables
m11_grants_loans_financial_assistance_repayments_grants,2007-08,drop,drop,drop,Reprinting values from the spending tables
m11_grants_loans_financial_assistance_repayments_loans_and_financial_assistance,2013-14,drop,drop,drop,Reprinting values from the spending tables
m11_total_m9_m10,2005-06,drop,drop,drop,Reprinting values from the spending tables
m11_total_repayments_m9_to_m10,2004-05,drop,drop,drop,Reprinting values from the spending tables
m12_grants_loans_financial_assistance_repayments_loans_and_financial_assistance,2007-08,drop,drop,drop,Reprinting values from the spending tables
m12_grants_loans_financial_assistance_total_m11_m12,2013-14,drop,drop,drop,Reprinting values from the spending tables
m13_grants_loans_financial_assistance_total_m11_m12,2007-08,drop,drop,drop,Reprinting values from the spending tables
m5_land_building_works,2005-06,drop,drop,drop,Reprinting values from the spending tables
m5_sales_of_tangible_fixed_assets_land_bldgs_works,2004-05,drop,drop,drop,Reprinting values from the spending tables
m6_sales_of_tangible_fixed_assets_land_buildings_works,2013-14,drop,drop,drop,Reprinting values from the spending tables
m6_sales_of_tangible_fixed_assets_vehicles,2004-05,drop,drop,drop,Reprinting values from the spending tables
m6_vehicles,2005-06,drop,drop,drop,Reprinting values from the spending tables
m7_plant_machinery_equipment,2005-06,drop,drop,drop,Reprinting values from the spending tables
m7_sales_of_tangible_fixed_assets_land_buildings_works,2007-08,drop,drop,drop,Reprinting values from the spending tables
m7_sales_of_tangible_fixed_assets_plant_mach_equip,2004-05,drop,drop,drop,Reprinting values from the spending tables
m7_sales_of_tangible_fixed_assets_vehicles,2013-14,drop,drop,drop,Reprinting values from the spending tables
m8_sales_of_tangible_fixed_assets_plant_machinery_equipment,2013-14,drop,drop,drop,Reprinting values from the spending tables
m8_sales_of_tangible_fixed_assets_total_m5_to_m7,2004-05,drop,drop,drop,Reprinting values from the spending tables
m8_sales_of_tangible_fixed_assets_vehicles,2007-08,drop,drop,drop,Reprinting values from the spending tables
m8_total_m5_to_m7,2005-06,drop,drop,drop,Reprinting values from the spending tables
m9_grants,2005-06,drop,drop,drop,Reprinting values from the spending tables
m9_repayments_grants,2004-05,drop,drop,drop,Reprinting values from the spending tables
m9_sales_of_tangible_fixed_assets_plant_machinery_equipment,2007-08,drop,drop,drop,Reprinting values from the spending tables
m9_sales_of_tangible_fixed_assets_total_m7_to_m9,2013-14,drop,drop,drop,Reprinting values from the spending tables
x2003_04_expenditure_accrued_in_2003_04_but_paid_for_in_04_05,2004-05,drop,drop,drop,One-off
x2003_04_income_accrued_in_03_04_but_received_in_04_05,2004-05,drop,drop,drop,One-off
capital_expenditure_financed_by_general_fund_revenue_account,2004-05,GF CERA,CERA,Financing,
capital_expenditure_financed_from_the_general_fund_revenue_account,2016-17,GF CERA,CERA,Financing,
general_fund_revenue_account,2018-19,GF CERA,CERA,Financing,
capital_grants_from_central_government_departments,2016-17,Grants from central government,Grant,Financing,
capital_grants_from_central_govt_deptmnts,2005-06,Grants from central government,Grant,Financing,
grants_from_central_government_departments,2018-19,Grants from central government,Grant,Financing,
capital_grants_from_european_union_structural_funds,2005-06,Grants from EU structural funds,Grant,Financing,
capital_grants_from_european_union_structural_funds_including_erdf,2016-17,Grants from EU structural funds,Grant,Financing,
grants_from_european_structural_investment_funds,2018-19,Grants from EU structural funds,Grant,Financing,
capital_funding_from_gla_bodies,2016-17,Grants from GLA bodies,Grant,Financing,
grants_from_gla_bodies,2018-19,Grants from GLA bodies,Grant,Financing,
grants_and_contributions_from_local_enterprise_partnerships,2016-17,Grants from LEPs,Grant,Financing,
grants_from_local_enterprise_partnerships,2018-19,Grants from LEPs,Grant,Financing,
capital_grants_and_contributions_from_non_departmental_public_bodies,2004-05,Grants from NDPBs,Grant,Financing,
grants_and_contributions_from_non_departmental_public_bodies,2016-17,Grants from NDPBs,Grant,Financing,
grants_contributions_from_non_departmental_public_bodies,2005-06,Grants from NDPBs,Grant,Financing,
grants_from_non_departmental_public_bodies,2018-19,Grants from NDPBs,Grant,Financing,
grants_from_other_local_authorities,2018-19,Grants from other LAs,Grant,Financing,
capital_grants_from_national_lottery,2005-06,Grants from the National Lottery,Grant,Financing,
capital_grants_from_the_national_lottery,2016-17,Grants from the National Lottery,Grant,Financing,
grants_from_the_national_lottery,2018-19,Grants from the National Lottery,Grant,Financing,
capital_expenditure_financed_from_housing_revenue_account,2004-05,HRA CERA,CERA,Financing,
capital_expenditure_financed_from_the_housing_revenue_account,2016-17,HRA CERA,CERA,Financing,
housing_revenue_account,2018-19,HRA CERA,CERA,Financing,
settlement_payments_determination_premiums,2011-12,HRA settlement determination: premia,Receipts,HRA self-financing determination,
settlement_payments_determination_receipts,2011-12,HRA settlement determination: receipts,Receipts,HRA self-financing determination,
settlement_payments_determination_expenditure,2011-12,HRA settlement determination: spending,Spending,HRA self-financing determination,
investments_as_at_1_april,2016-17,Investments at 1 April,Financial assets and liabilities,Prudential,
investments_as_at_1_april_2004,2004-05,Investments at 1 April,Financial assets and liabilities,Prudential,
investments_as_at_31_march,2016-17,Investments at 31 March,Financial assets and liabilities,Prudential,
investments_as_at_31_march_2005,2004-05,Investments at 31 March,Financial assets and liabilities,Prudential,
m12_gross_borrowing_etc_at_1_april_2004_la_companies_only,2004-05,LA companies: gross borrowing and other long-term liabilities at 1 April,memo,memo,
m12_gross_borrowing_other_long_term_liabilities_as_at_1_apr,2005-06,LA companies: gross borrowing and other long-term liabilities at 1 April,memo,memo,
m13_local_authority_companies_only_gross_borrowing_and_other_long_term_liabilities_as_at_1_april,2013-14,LA companies: gross borrowing and other long-term liabilities at 1 April,memo,memo,
m14_local_authority_companies_only_gross_borrowing_and_other_long_term_liabilities_as_at_1_april,2007-08,LA companies: gross borrowing and other long-term liabilities at 1 April,memo,memo,
m13_gross_borrowing_etc_at_31_march_2005_la_companies_only,2004-05,LA companies: gross borrowing and other long-term liabilities at 31 March,memo,memo,
m13_gross_borrowing_other_long_term_liabilities_as_at_31_march,2005-06,LA companies: gross borrowing and other long-term liabilities at 31 March,memo,memo,
