original_variable,continuity_variable,category_1,category_2,coverage
additional_contribution_from_revenue,Additional contribution from revenue,Non-borrowing contributor,CFR,CFR
prurpyrevadd_amt,Additional contribution from revenue,Non-borrowing contributor,CFR,CFR
adjustments_for_land_and_capital_receipts_crossing_hra_boundary,Adjustments for land and capital receipts crossing HRA boundary,Non-borrowing contributor,CFR,CFR
authorised_limit_for_external_debt_at_1_april,Authorised limit,Year open,,Prudential
authorised_limit_for_external_debt_at_1_april_2004,Authorised limit,Year open,,Prudential
authorised_limit_for_external_debt_at_31_march,Authorised limit,Year end,,Prudential
authorised_limit_for_external_debt_at_31_march_2005,Authorised limit,Year end,,Prudential
prulmt_end,Authorised limit,Year end,,Prudential
prulmt_strt,Authorised limit,Year open,,Prudential
m8_capital_expenditure_financed_by_the_community_infrastructure_levy_cil,Capex financed by CIL,memo,memo,Financing
rec_recusdflx_amt,Capital receipts used to finance revenue expenditure,memo,Aggregate,Financing
capital_financing_requirement_as_at_1_april,CFR,Year open,,Prudential
capital_financing_requirement_as_at_1_april_2004,CFR,Year open,,Prudential
capital_financing_requirement_as_at_31_march,CFR,Year end,,Prudential
capital_financing_requirement_as_at_31_march_2005,CFR,Year end,,Prudential
capital_financing_requirement_as_at_31_march_line_30_plus_line_36,CFR,Year end,,Prudential
change_in_capital_financing_requirement,CFR,In-year change,,Prudential
change_in_capital_financing_requirement_line_31_less_lines_32_to_35,CFR,In-year change,,Prudential
prucfrchng_amt,CFR,In-year change,,Prudential
prucfrend_amt,CFR,Year end,,Prudential
prucfrstrt_amt,CFR,Year open,,Prudential
prurpyhraadj_amt,Contribution from Housing Revenue Account,Non-borrowing contributor,CFR,CFR
contribution_from_major_repairs_reserve,Contribution from Major Repairs Reserve,Non-borrowing contributor,CFR,CFR
contributions_from_mrr,Contribution from Major Repairs Reserve,Non-borrowing contributor,CFR,CFR
prurpymrr_amt,Contribution from Major Repairs Reserve,Non-borrowing contributor,CFR,CFR
fingrnothpri_amt,Developer contributions,Developer contributions,Aggregate,Financing
grants_and_contributions_from_private_developers_and_from_leaseholders_etc,Developer contributions,Developer contributions,Aggregate,Financing
grants_contributions_from_private_developers,Developer contributions,Developer contributions,Aggregate,Financing
capital_grants_and_contributions_from_private_developers,Developer contributions,Developer contributions,Aggregate,Financing
m3_section_16_2_b_equal_pay_directions,Equal pay directions,Use of capitalisation,memo,Other spending
capital_exp_to_be_resourced_by_means_of_credit,Expenditure financed by external borrowing and credit,Borrowing need,CFR,CFR
capital_expenditure_to_be_resourced_by_means_of_credit,Expenditure financed by external borrowing and credit,Borrowing need,CFR,CFR
capital_expenditure_to_be_resourced_by_means_of_credit_lines_26_to_28,Expenditure financed by external borrowing and credit,Borrowing need,CFR,CFR
prufinoth_amt,Expenditure financed by external borrowing and credit,Borrowing need,CFR,CFR
capital_expenditure_financed_by_general_fund_revenue_account,General Fund CERA,CERA,Component,Financing
capital_expenditure_financed_from_the_general_fund_revenue_account,General Fund CERA,CERA,Component,Financing
finfundgfra_amt,General Fund CERA,CERA,Component,Financing
grants_and_contributions_from_local_enterprise_partnerships,Grants and contributions from LEPs,,,Financing
capital_grants_from_central_government_departments,Grants from central government departments,Grants,Component,Financing
capital_grants_from_central_govt_deptmnts,Grants from central government departments,Grants,Component,Financing
fingrngov_amt,Grants from central government departments,Grants,Component,Financing
capital_grants_from_european_union_structural_funds,Grants from European structural & investment funds ,Grants,Component,Financing
capital_grants_from_european_union_structural_funds_including_erdf,Grants from European structural & investment funds ,Grants,Component,Financing
fingrnothesif_amt,Grants from European structural & investment funds ,Grants,Component,Financing
capital_funding_from_gla_bodies,Grants from GLA bodies,Grants,Component,Financing
fingrnothgovgla_amt,Grants from GLA bodies,Grants,Component,Financing
fingrnothgovlep_amt,Grants from LEPs,Grants,Component,Financing
capital_grants_and_contributions_from_non_departmental_public_bodies,Grants from NDPBs,Grants,Component,Financing
